_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
670022b13b43e6c05d6b68e9,,103.99,98.51,107.19,88.11,130;1;0;1,time,15,-1,2,15,0,16.06,false,false,english,,normal,false,false,false,,1728062129000
670022813b43e6c05d6b656d,,98.68,97.83,98.68,80.56,45;0;0;0,words,10,-1,0,5.47,0,0,false,false,english,,normal,false,false,false,,1728062081000
66fbbae03b43e6c05d33a894,,109.4,100,109.4,92.5,52;0;0;0,words,10,-1,14,5.7,0,39.54,false,false,english,,normal,false,false,false,,1727773408000
66fbba933b43e6c05d33a583,,87.67,96.43,87.67,53.23,54;0;0;0,words,10,-1,8,7.39,0,17.37,false,false,english,,normal,false,false,false,,1727773331000
66fbba723b43e6c05d33a404,,104.26,93.62,119.52,85.86,41;1;1;0,words,10,-1,2,4.72,0,1.62,false,false,english,,normal,false,false,false,,1727773298000
66fbba693b43e6c05d33a3aa,,108.68,100,108.68,83.58,53;0;0;0,words,10,-1,0,5.85,0,0,false,false,english,,normal,false,false,false,,1727773289000
66fbba613b43e6c05d33a34d,,117.23,100,117.23,62.92,50;0;0;0,words,10,-1,1,5.12,0,3.16,false,false,english,,normal,false,false,false,,1727773281000
66fbba563b43e6c05d33a2ed,,107.03,98,107.03,64.23,49;0;0;0,words,10,-1,1,5.49,0,2.27,false,false,english,,normal,false,false,false,,1727773270000
66fbba4b3b43e6c05d33a274,,113.55,92.73,130.46,86.75,47;1;1;3,words,10,-1,4,4.97,0,8.04,false,false,english,,normal,false,false,false,,1727773259000
66fbba1e3b43e6c05d33a09c,,106.24,100,106.24,85.23,133;0;0;0,time,15,-1,2,15.02,0,9.74,false,false,english,,normal,false,false,false,,1727773214000
66fbb9f93b43e6c05d339f1a,,99.99,100,99.99,82.66,125;0;0;0,time,15,-1,2,15,0,8.26,false,false,english,,normal,false,false,false,,1727773177000
66fbb9de3b43e6c05d339dea,,94.34,97.52,95.94,79.52,118;1;0;1,time,15,-1,21,15.01,0,74.84,false,false,english,,normal,false,false,false,,1727773150000
66fbb96f3b43e6c05d33995b,,87.96,93.44,96.75,70.95,110;3;2;0,time,15,-1,7,15.01,0,28.3,false,false,english,,normal,false,false,false,,1727773039000
66fbb93c3b43e6c05d33974b,,91.98,94.4,97.58,74.58,115;2;1;0,time,15,-1,6,15,0,11.1,false,false,english,,normal,false,false,false,,1727772988000
66fbb91b3b43e6c05d3395fb,,103.88,99.24,103.88,76.55,130;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1727772955000
66fbb9073b43e6c05d33952f,,107.16,99.26,107.16,81.86,134;0;0;0,time,15,-1,15,15.01,0,48.35,false,false,english,,normal,false,false,false,,1727772935000
66fbb8af3b43e6c05d3391d0,,99.97,97.66,99.97,83.5,125;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727772847000
66fbb89f3b43e6c05d339127,,101.36,97.69,101.36,76.29,127;0;0;0,time,15,-1,10,15.04,0,50.22,false,false,english,,normal,false,false,false,,1727772831000
66fbb81b3b43e6c05d338bc9,,97.59,91.61,114.38,91.55,122;7;1;5,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727772699000
66fbb7f93b43e6c05d338a7a,,110.37,99.28,110.37,73.72,138;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727772665000
66e5c950b6e6096ba39e2986,,109.56,100,109.56,84.07,137;0;0;0,time,15,-1,9,15.01,0,51.26,false,false,english,,normal,false,false,false,,1726335312000
66e5c073b6e6096ba39dc6a9,,107.84,97.83,107.84,76.79,135;0;0;0,time,15,-1,2,15.02,0,10.11,false,false,english,,normal,false,false,false,,1726333043000
66e5c012b6e6096ba39dc27c,,108.76,100,108.76,81.78,136;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1726332946000
66e5bffeb6e6096ba39dc1ac,,100.76,100,100.76,85.71,126;0;0;0,time,15,-1,7,15.01,0,23.73,false,false,english,,normal,false,false,false,,1726332926000
66e5bfceb6e6096ba39dbf7f,,99.07,99.2,99.07,76.54,124;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1726332878000
66e5bfbdb6e6096ba39dbea3,,91.94,97.48,91.94,74.18,115;0;0;0,time,15,-1,1,15.01,0,0.8,false,false,english,,normal,false,false,false,,1726332861000
66e5bfa8b6e6096ba39dbd9a,,99.19,99.2,99.19,74.58,124;0;0;0,time,15,-1,1,15,0,3.22,false,false,english,,normal,false,false,false,,1726332840000
66784ea56dc967ef98a696cd,,102.33,95.65,109.53,77.48,128;3;0;2,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1719160485000
6655e14474e22312210b61d9,,106.32,100,106.32,84.66,133;0;0;0,time,15,-1,16,15.01,0,85.2,false,false,english,,normal,false,false,false,,1716904260000
66535fe36d1b0584d2205aed,,87.96,93.28,95.15,73.37,110;7;0;1,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1716740067000
66535fd46d1b0584d2205a52,,89.51,98.32,95.11,79.18,112;0;0;2,time,15,-1,10,15.01,0,62.4,false,false,english,,normal,false,false,false,,1716740052000
